"","Sample","Richness","Mean.Degree","Median.Degree","Density","Diameter","Modularity","Total.Length","Pos.Lenght","Neg.Lenght","prop.neg","prop.pos","source","DOM","rep","treat"
"1","CM.1.csv",769,10.6007802340702,8,0.0138030992631123,24.6377106484368,0.808123220097362,4076,4069,7,0.171736997055937,99.8282630029441,"C","M","r1","C_M"
"2","CM.2.csv",722,8.32409972299169,5,0.0115452145949954,20.6969731838616,0.838090502415014,3005,2999,6,0.199667221297837,99.8003327787022,"C","M","r2","C_M"
"3","CM.3.csv",668,7.76047904191617,3,0.0116349011123181,22.6673419161492,0.726634671395651,2592,2584,8,0.308641975308642,99.6913580246914,"C","M","r3","C_M"
"4","CS.1.csv",884,8.60180995475113,5,0.00974157412769098,31.5369859727009,0.847148008153781,3802,3796,6,0.157811678064177,99.8421883219358,"C","S","r1","C_S"
"5","CS.2.csv",780,11.4282051282051,6,0.0146703531812646,21.6804259283002,0.787213585640101,4457,4453,4,0.0897464662328921,99.9102535337671,"C","S","r2","C_S"
"6","CS.3.csv",846,10.2978723404255,7,0.0121868311721012,52.2356647344241,0.82904908788809,4356,4338,18,0.413223140495868,99.5867768595041,"C","S","r3","C_S"
"7","SCM.1.csv",610,7.23606557377049,4,0.0118818810735148,44.3464626172095,0.786938824846809,2207,2179,28,1.2686905301314,98.7313094698686,"CS","M","r1","CS_M"
"8","SCM.2.csv",669,11.9252615844544,7,0.0178521880006803,29.5636324791557,0.799948513753421,3989,3985,4,0.100275758335422,99.8997242416646,"CS","M","r2","CS_M"
"9","SCM.3.csv",645,18.5085271317829,8,0.0287399489623959,18.5342010513313,0.560450788362403,5969,5881,88,1.47428379963143,98.5257162003686,"CS","M","r3","CS_M"
"10","SCS.1.csv",697,12,7,0.0172413793103448,23.6516734933622,0.794158778856549,4182,4175,7,0.167384026781444,99.8326159732186,"CS","S","r1","CS_S"
"11","SCS.2.csv",699,10.6466380543634,5,0.0152530631151338,21.6830103389362,0.782277454899958,3721,3714,7,0.188121472722386,99.8118785272776,"CS","S","r2","CS_S"
"12","SCS.3.csv",662,9.85196374622356,5,0.0149046350169797,33.5055970394395,0.725045474291274,3261,3246,15,0.459981600735971,99.540018399264,"CS","S","r3","CS_S"
"13","SM.1.csv",640,5.9625,2,0.00933098591549296,16.7493092324655,0.730183258637794,1908,1779,129,6.76100628930818,93.2389937106918,"S","M","r1","S_M"
"14","SM.2.csv",572,5.25174825174825,2,0.00919745753370972,6.89714335193722,0.831206928608228,1502,1453,49,3.26231691078562,96.7376830892144,"S","M","r2","S_M"
"15","SM.3.csv",493,5.09939148073022,2,0.0103646168307525,5.9110541091752,0.695535316877274,1257,1115,142,11.296738265712,88.703261734288,"S","M","r3","S_M"
"16","SS.1.csv",489,3.97955010224949,2,0.00815481578329813,4.91869376837965,0.878661760603887,973,890,83,8.53031860226105,91.469681397739,"S","S","r1","S_S"
"17","SS.2.csv",631,5.82884310618067,2,0.00925213191457249,19.7044880241189,0.802032798564674,1839,1703,136,7.39532354540511,92.6046764545949,"S","S","r2","S_S"
"18","SS.3.csv",683,6.64421669106881,3,0.00974225321271087,19.7079512675294,0.844554319441726,2269,2149,120,5.28867342441604,94.711326575584,"S","S","r3","S_S"
