sampleID,source,DOM,rep,treat,time,Mean.Degree,Median.Degree,Density,Diameter,Modularity,Total.Length,Pos.Lenght,Neg.Lenght,prop.neg,prop.pos,BP,resp,cellcounts
SCM.3_T3,CS,M,r3,CS_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T3,CS,S,r1,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T3,CS,S,r2,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T3,CS,S,r3,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T3,S,M,r1,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T3,S,M,r2,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T3,S,M,r3,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T3,S,S,r1,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T3,S,S,r2,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T3,S,S,r3,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.1_T2,C,M,r1,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T2,C,M,r2,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T2,C,M,r3,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T2,C,S,r1,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T2,C,S,r2,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T2,C,S,r3,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T2,CS,M,r1,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T2,CS,M,r2,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T2,CS,M,r3,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T2,CS,S,r1,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T2,CS,S,r2,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T2,CS,S,r3,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T2,S,M,r1,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T2,S,M,r2,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T2,S,M,r3,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T2,S,S,r1,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T2,S,S,r2,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T2,S,S,r3,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.1_T1,C,M,r1,C_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T1,C,M,r2,C_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T1,C,M,r3,C_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T1,C,S,r1,C_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T1,C,S,r2,C_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T1,C,S,r3,C_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T1,CS,M,r1,CS_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T1,CS,M,r2,CS_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T1,CS,M,r3,CS_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T1,CS,S,r1,CS_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T1,CS,S,r2,CS_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T1,CS,S,r3,CS_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T1,S,M,r1,S_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T1,S,M,r2,S_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T1,S,M,r3,S_M,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T1,S,S,r1,S_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T1,S,S,r2,S_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T1,S,S,r3,S_S,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.1_T0,C,M,r1,C_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T0,C,M,r2,C_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T0,C,M,r3,C_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T0,C,S,r1,C_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T0,C,S,r2,C_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T0,C,S,r3,C_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T0,CS,M,r1,CS_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T0,CS,M,r2,CS_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T0,CS,M,r3,CS_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T0,CS,S,r1,CS_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T0,CS,S,r2,CS_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T0,CS,S,r3,CS_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T0,S,M,r1,S_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T0,S,M,r2,S_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T0,S,M,r3,S_M,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T0,S,S,r1,S_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T0,S,S,r2,S_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T0,S,S,r3,S_S,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
